time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3635.194750	121.799393	-0.002401	0.100000	107
3636.649422	264.522217	-0.329280	0.100000	109
3637.680424	98.497040	-0.532837	0.100000	111
3638.695272	260.002747	-0.596564	0.035530	113
3640.744401	83.165520	1.068236	-0.003052	115
3642.797651	262.614044	-1.002912	0.004019	117
3644.849599	262.165619	-0.946345	0.002890	119
3646.896288	262.494934	-0.891075	0.002586	121
3648.942527	262.779419	-0.834734	0.002622	123
3650.987848	262.883667	-0.778823	0.002737	125
3653.034930	262.814575	-0.727338	0.003158	127
3655.082862	262.652252	-0.678372	0.003038	129
3657.131644	262.503754	-0.632710	0.003082	131
3659.183791	262.651733	-0.589033	0.003760	133
3661.234529	262.533356	-0.549554	0.003468	135
3663.289816	262.852783	-0.510580	0.003362	137
3665.339570	263.125458	-0.476021	0.003229	139
3667.385791	263.006500	-0.446637	0.004082	141
3669.425579	262.241150	-0.416461	0.004358	143
3671.464448	261.905060	-0.383757	0.003495	145
3673.517803	261.969818	-0.355603	0.003730	147
3675.564825	262.094574	-0.330518	0.004322	149
3677.614808	262.563843	-0.309130	0.003998	151
3679.660846	262.677612	-0.287102	0.003649	153
3681.704270	262.799622	-0.267476	0.003515	155
3683.747800	263.048584	-0.245969	0.003465	157
3685.799617	263.069061	-0.228552	0.003917	159
3687.855805	262.484772	-0.211573	0.004227	161
3689.914001	261.744720	-0.198486	0.003729	163
3691.984146	261.519043	-0.186796	0.003289	165
3694.025784	265.183350	-0.130275	0.008582	167
3695.026541	76.794281	-0.114099	0.014616	169
3697.106617	88.759766	-0.109030	0.012432	171
3698.102693	253.929352	-0.099562	0.017169	173
3700.158190	262.832367	-0.137026	0.003053	175
3701.687449	351.695129	-0.002247	0.054548	177
