crossing time (s)	slope (V/s)	crossing number
4767.539436	-0.586350	7328
4767.972326	-109.528381	7329
4768.386849	-1.677502	7330
4768.949440	-106.267389	7331
4769.959200	-106.162193	7332
4770.561276	-2.703521	7333
4770.933390	-100.492436	7334
4771.547883	-2.002727	7335
4772.007199	-98.325490	7336
4772.561790	-1.108481	7337
4773.054935	-96.035885	7338
4773.551293	1.280585	7339
4774.100989	-93.480636	7340
4775.102380	-91.239251	7341
4776.106258	-86.942146	7342
4776.639353	-0.244137	7343
4777.124462	-84.248030	7344
4778.148275	-81.880101	7345
4778.653704	-0.336631	7346
4779.198231	-80.674005	7347
4780.245885	-79.731520	7348
4780.633365	-1.139216	7349
4781.270475	-74.918481	7350
4782.310356	-74.113519	7351
4783.309291	-70.935491	7352
4783.788190	0.133442	7353
4784.299480	-68.105657	7354
4785.345487	-64.994029	7355
4786.377569	-64.359706	7356
4787.354572	-63.867643	7357
4788.429856	-61.629832	7358
4788.835705	0.675403	7359
4789.440747	-60.148226	7360
4790.415911	-55.618663	7361
4791.462932	-56.676260	7362
4792.495065	-54.602502	7363
4793.484491	-51.702578	7364
4794.536318	-50.104749	7365
4795.137227	-0.689965	7366
4795.514702	-45.557368	7367
4796.606548	-47.683675	7368
4797.625789	-45.008793	7369
4798.563463	-44.913508	7370
4799.701787	-42.052381	7371
4800.673377	-43.645572	7372
4801.685804	-38.628069	7373
4802.744442	-38.322348	7374
4803.760880	-37.045933	7375
4804.776203	-34.641436	7376
4805.839153	-35.676126	7377
4806.842588	-35.546359	7378
4807.843993	-31.562222	7379
4808.863013	-32.815410	7380
4809.897221	-30.851345	7381
4810.936006	-31.200339	7382
4811.915690	-29.513439	7383
4812.981469	-27.242100	7384
4814.065514	-24.811031	7385
4815.021057	-24.415592	7386
4816.018493	-24.013561	7387
4817.061106	-22.682930	7388
4818.073615	-21.963996	7389
4819.076182	-24.866722	7390
4820.153320	-23.336675	7391
4821.165544	-19.918953	7392
4822.167683	-22.443420	7393
4823.173822	-18.814945	7394
4824.248157	-17.692004	7395
4825.256303	-18.985540	7396
4826.256017	-16.859860	7397
4827.302854	-16.454127	7398
4828.345740	-15.451245	7399
4829.358375	-16.206205	7400
4830.362663	-15.772729	7401
4831.386814	-14.387986	7402
4832.416363	-12.492269	7403
4833.424431	-13.212983	7404
4834.454097	-10.364287	7405
4835.455776	-13.809794	7406
4836.510797	-13.156282	7407
4837.531158	-11.523573	7408
4838.561550	-12.568059	7409
4839.548020	-11.413424	7410
4840.563934	-13.417333	7411
4841.557573	-10.434029	7412
4842.662248	-10.826201	7413
4843.644006	-10.562259	7414
4844.640823	-9.064563	7415
4845.714530	-7.761131	7416
4846.744444	-8.296483	7417
4847.729992	-8.912332	7418
4848.775127	-6.565235	7419
4849.819798	-6.966071	7420
4850.826590	-7.433862	7421
4851.855681	-6.514107	7422
4852.891950	-8.126879	7423
4853.864165	-5.613631	7424
4854.368859	5.702723	7425
4854.898606	-6.219464	7426
4855.927177	-4.883308	7427
4856.954181	-6.119463	7428
4857.995330	-6.244073	7429
4859.001403	-6.139874	7430
4860.028899	-6.707911	7431
4861.050949	-5.409557	7432
4862.086765	-6.512687	7433
4863.097743	-6.685709	7434
4863.638606	2.669033	7435
4864.092618	-3.027688	7436
4865.119807	-5.661862	7437
4866.145161	-6.340828	7438
4867.209898	-4.662596	7439
4868.191344	-2.154389	7440
4869.255166	-6.648214	7441
4870.247202	-2.153421	7442
4871.286315	-2.623027	7443
4872.311188	-2.418825	7444
4873.337386	-2.636184	7445
4874.360794	-1.791094	7446
4875.363803	-2.715783	7447
4876.400760	-4.093412	7448
4877.415577	-5.845838	7449
4878.066884	2.567715	7450
4878.455068	-3.416084	7451
4879.466476	-1.997999	7452
4880.480237	-2.573063	7453
4881.507854	-4.673132	7454
4882.512927	-2.302425	7455
4883.569073	-1.815399	7456
4884.573339	-2.097100	7457
4885.617157	-3.278393	7458
4886.607747	-2.762248	7459
4887.663208	-0.158943	7460
4888.645157	-1.645772	7461
4889.701713	-0.351841	7462
4890.708764	-0.606981	7463
4891.744263	-3.462898	7464
4892.743861	-6.776493	7465
4893.810044	-1.102487	7466
4894.798509	-2.803399	7467
4895.838690	-0.039454	7468
4896.848999	-1.912970	7469
4897.883660	-2.489039	7470
4898.882470	-1.730275	7471
4899.931633	-1.899067	7472
4900.933791	-4.205000	7473
4901.243676	3.132165	7474
4901.955351	-2.969426	7475
4902.993822	-1.541055	7476
4903.548334	-2.527116	7477
4904.031776	0.111188	7478
4905.024147	-1.799312	7479
4905.512992	0.498533	7480
4906.060168	-0.621999	7481
4907.077037	-1.598523	7482
4908.117431	-1.109512	7483
4909.119950	-0.265924	7484
4910.143479	0.319443	7485
4911.161133	-0.176585	7486
4912.206059	-2.337148	7487
4913.220865	-2.881247	7488
4914.262336	-2.856719	7489
4914.704101	-0.851797	7490
