time (s)	magX	magY	magZ
5443.178473	15.955581	278.085327	178.588547
5443.181804	16.072472	281.182953	183.147278
5443.185139	16.189362	284.514313	188.348923
5443.188469	16.189362	286.150787	195.128586
5443.191803	15.663354	290.066620	201.090012
5443.195131	15.254236	291.936890	206.233200
5443.198488	14.786674	294.800690	211.142593
5443.201803	14.962010	298.541199	217.746933
5443.205130	14.319111	301.112793	225.461731
5443.208469	14.260666	303.216827	229.319107
5443.211801	13.383986	306.723572	236.098770
5443.215129	13.267096	308.535370	243.112213
5443.218491	12.624195	311.925171	250.710114
5443.221799	12.507305	314.029236	256.905334
5443.225132	11.864407	316.542358	265.672119
5443.228465	11.279953	318.938660	272.568665
5443.231791	10.520163	321.334900	280.984802
5443.235131	10.637054	323.555817	288.816498
5443.238462	10.286381	325.952087	297.933960
5443.241800	9.468147	327.004089	305.824066
5443.245130	8.883694	329.108124	315.526031
5443.248459	8.123903	331.913513	324.234375
5443.251800	7.247223	332.790192	333.059601
5443.255130	6.370543	334.718872	342.352417
5443.258464	5.376972	335.887787	352.872589
5443.261797	4.850964	336.004669	361.288727
5443.265128	3.740501	337.115143	371.867340
5443.268459	3.565165	337.641144	380.984802
5443.271792	2.045586	337.874939	392.381653
5443.275124	1.110462	338.108704	401.908234
5443.278457	-0.233782	338.517822	413.772644
5443.281791	-0.876680	336.881348	423.240814
5443.285167	-2.220922	336.179993	434.053192
5443.288458	-3.740505	335.653992	446.560486
5443.291793	-4.500294	333.842194	458.366455
5443.295121	-6.545879	332.322632	469.120422
5443.298452	-7.831676	330.510803	481.393921
5443.301790	-9.059029	326.828766	493.959686
5443.305124	-10.169491	324.023376	505.940979
5443.308458	-11.981300	320.575104	517.396240
5443.311788	-13.500877	318.061951	528.325500
5443.315120	-14.903568	313.503235	541.592651
5443.318454	-16.598480	308.944489	554.216797
5443.321789	-18.527176	303.976624	566.139648
5443.325121	-19.812973	298.482758	578.237854
5443.328459	-21.449444	292.346008	590.628296
5443.331788	-23.261253	285.098785	601.382202
5443.335115	-25.715958	279.721802	613.071289
5443.338451	-27.703098	272.123932	625.578552
5443.341786	-29.690239	264.409119	637.852112
5443.345143	-32.554062	255.583862	649.132019
5443.348448	-33.839859	246.524841	659.593811
5443.351783	-36.411457	237.991821	671.633484
5443.355150	-38.223263	228.640564	682.387451
5443.358473	-40.093517	218.237289	693.083008
5443.361780	-42.314434	207.834015	701.440674
5443.365116	-44.593807	196.846298	713.889526
5443.368456	-46.873173	185.975464	721.545837
5443.371781	-49.094097	174.520172	731.773804
5443.375120	-51.841030	162.889542	741.826355
5443.378449	-53.711277	149.973114	750.476318
5443.381784	-56.633549	137.173584	759.067749
5443.385112	-58.503796	124.198715	766.198120
5443.388467	-59.964931	110.873169	772.919312
5443.391783	-62.770313	97.313858	777.361206
5443.395117	-64.815903	83.345413	783.030334
5443.398442	-66.452362	68.850967	788.290405
5443.401782	-69.199295	55.174747	795.596130
5443.405110	-71.011108	40.972530	800.037964
5443.408448	-73.699585	25.952076	804.246094
5443.411777	-75.219177	11.340736	807.460510
5443.415112	-77.498535	-2.277031	807.694275
5443.418445	-79.251892	-16.537697	810.441223
5443.421797	-80.654587	-32.025715	810.090576
5443.425147	-82.641724	-46.578606	811.960815
5443.428447	-84.219757	-60.605492	812.545227
5443.431790	-85.797791	-74.573929	808.863159
5443.435115	-87.843369	-89.594391	805.531799
5443.438448	-89.070724	-102.978378	803.135620
5443.441769	-90.298080	-116.420807	800.447083
5443.445107	-92.285217	-129.746353	796.180542
5443.448441	-93.571014	-142.721222	792.381592
5443.451781	-93.804794	-155.286957	788.290405
5443.455108	-94.739929	-168.670959	780.517212
5443.458435	-96.084167	-180.126236	773.094604
5443.461776	-97.077744	-191.698425	768.711243
5443.465109	-97.837509	-203.212158	758.775574
5443.468458	-98.246643	-214.550552	749.073608
5443.471766	-98.597305	-224.252472	742.527771
5443.475107	-98.305084	-234.947983	731.832275
5443.478433	-99.415543	-244.123901	721.545837
5443.481774	-99.766205	-253.592056	712.194641
5443.485176	-99.824661	-261.423737	700.739319
5443.488442	-99.649323	-269.781433	692.732300
5443.491775	-99.941559	-276.327301	678.179382
5443.495103	-99.415543	-284.568085	667.542358
5443.498437	-99.649323	-291.523102	655.794861
5443.501770	-99.357101	-298.887207	643.696594
5443.505098	-99.240219	-303.562836	630.137329
5443.508441	-98.538879	-309.699585	617.571594
5443.511796	-98.071304	-315.544128	607.168274
5443.515105	-97.311523	-318.291046	592.790710
5443.518430	-96.610168	-322.206879	579.991211
5443.521764	-96.493271	-326.999420	567.016357
5443.525108	-95.265915	-330.856812	552.580322
5443.528434	-95.090591	-332.960846	540.189941
5443.531764	-93.921677	-336.000000	527.156616
5443.535101	-93.571014	-337.402679	516.402649
5443.538436	-91.583862	-339.331390	503.603180
5443.541769	-90.707199	-339.857391	490.978973
5443.545099	-90.122726	-342.721222	478.004089
5443.548473	-88.603165	-342.370544	463.626526
5443.551767	-87.960251	-343.948578	452.171234
5443.555115	-86.732910	-343.188782	441.125061
5443.558426	-85.505554	-342.604309	427.799530
5443.561769	-84.687317	-342.487427	416.168884
5443.565093	-83.401520	-343.714783	404.772064
5443.568430	-82.115723	-341.786102	394.719452
5443.571761	-80.713028	-341.026306	382.270599
5443.575094	-79.602570	-338.454681	370.230865
5443.578432	-79.193451	-338.805389	361.347168
5443.581764	-77.381638	-336.876678	349.658081
5443.585099	-76.388077	-335.883118	341.651093
5443.588433	-74.985397	-333.428406	331.423157
5443.591765	-73.816483	-331.499695	322.188782
5443.595097	-72.939804	-329.278778	310.441254
5443.598426	-71.361771	-326.824097	304.246063
5443.601763	-71.244888	-324.661591	293.316772
5443.605094	-69.900635	-321.096436	284.257751
5443.608429	-68.381058	-318.641724	275.958496
5443.611764	-67.270599	-317.765045	269.120392
5443.615129	-66.335480	-314.024536	259.710693
5443.618424	-64.699005	-311.628296	251.995911
5443.621758	-63.413212	-308.939819	243.170654
5443.625086	-62.828762	-306.426666	235.689651
5443.628449	-61.367619	-302.686127	230.780258
5443.631753	-60.257160	-300.348328	221.896561
5443.635091	-58.679134	-296.958496	216.870239
5443.638419	-58.153126	-293.977783	208.746353
5443.641780	-56.925777	-290.646393	202.960266
5443.645088	-55.932201	-287.607239	196.706604
5443.648426	-55.639980	-285.503204	190.511398
5443.651752	-54.354183	-283.282288	186.011108
5443.655091	-53.711277	-278.898895	179.815903
5443.658423	-52.016361	-277.203979	174.731155
5443.661751	-51.022793	-272.937469	168.945053
5443.665087	-50.730564	-270.658112	164.094101
5443.668416	-49.561657	-268.144928	159.769135
5443.671757	-48.626530	-265.164215	153.632370
5443.675088	-47.983639	-262.767975	150.826996
5443.678420	-47.340733	-260.079498	145.859146
5443.681757	-46.522503	-256.338989	141.884857
5443.685084	-45.353596	-254.234955	137.267685
5443.688414	-45.061375	-250.903564	133.585632
5443.691757	-43.834019	-248.098175	129.436005
5443.695084	-42.782001	-245.877258	126.981300
5443.698419	-42.139095	-242.487427	122.071899
5443.701780	-41.145527	-240.909393	119.091171
5443.705086	-40.736408	-237.052002	115.175339
5443.708413	-40.093517	-235.298645	112.077736
5443.711753	-39.976627	-233.077728	108.454117
5443.715094	-38.924610	-230.798355	105.648743
5443.718412	-38.924610	-229.278778	103.369377
5443.721746	-38.223263	-226.707184	101.557571
5443.725081	-36.937466	-224.486252	98.343079
5443.728412	-36.879017	-221.505554	94.836357
5443.731744	-36.236126	-219.810623	93.141441
5443.735081	-35.476330	-216.888367	91.212738
5443.738413	-34.950321	-214.725891	89.050270
5443.741756	-34.248974	-213.323196	86.829346
5443.745107	-34.073643	-211.043823	85.134430
5443.749682	-33.313850	-206.952652	79.406784
5443.753049	-32.320282	-204.673294	77.711868
5443.756475	-32.203392	-203.387482	76.776741
5443.759784	-31.560490	-201.867905	75.081825
5443.763143	-31.092926	-199.763870	73.912918
5443.766483	-30.450031	-198.068970	71.458214
5443.769799	-30.099358	-195.438919	69.471069
5443.773127	-29.573349	-194.737579	67.893051
5443.776034	-29.047344	-193.042664	66.782585
5443.779841	-28.638222	-191.523071	65.263008
5443.782730	-28.755116	-189.945053	63.334305
5443.786434	-28.813560	-187.841019	60.996490
5443.789730	-27.761547	-186.905899	61.054939
5443.793065	-27.293983	-185.327881	59.243130
5443.796399	-26.884861	-184.392746	58.717125
5443.799765	-26.767971	-182.873169	56.788425
5443.802760	-26.709530	-181.470474	56.203972
5443.806025	-25.599064	-180.360016	54.859726
5443.809331	-25.891296	-179.541779	54.099941
5443.813034	-26.066628	-178.197540	52.931034
5443.815937	-25.248394	-176.327286	53.047924
5443.819255	-25.189945	-175.450607	50.768555
5443.822605	-25.073055	-175.099930	49.599648
5443.825953	-24.605492	-173.288132	49.365868
5443.829377	-24.780830	-173.054352	49.132084
5443.832712	-23.845707	-171.476334	47.670952
5443.835931	-24.254818	-170.365860	46.560490
5443.839249	-23.845707	-170.248978	46.151371
5443.842577	-23.436584	-169.898300	45.625366
5443.845971	-23.027470	-168.378723	44.865574
5443.849320	-23.144360	-168.378723	45.040913
5443.852656	-23.378143	-166.450027	43.696667
5443.856001	-22.735241	-166.391571	43.053768
5443.859415	-22.209236	-165.690231	42.936874
5443.862582	-22.618351	-164.988892	42.060196
5443.865912	-22.735241	-164.229095	42.060196
5443.869257	-21.800117	-163.819977	41.475742
5443.872608	-21.741673	-163.878433	40.949734
5443.875975	-21.917007	-162.943298	41.884861
5443.879376	-21.858562	-162.651077	41.592632
5443.882660	-21.917007	-162.241959	40.715954
5443.886042	-21.215664	-161.482162	39.897720
5443.889282	-21.449444	-161.832840	39.956165
5443.892574	-21.098770	-161.189941	39.547047
5443.895911	-20.864990	-160.780823	39.488602
5443.899273	-20.806545	-160.722382	38.904148
5443.902584	-20.689655	-160.254807	37.910576
5443.906002	-19.696083	-159.495026	39.021038
5443.909365	-20.222092	-158.910583	39.079483
5443.912575	-20.572765	-159.728821	38.085915
5443.915904	-20.046757	-159.144363	37.209232
5443.919272	-19.637638	-159.436584	38.378139
5443.922595	-19.929867	-158.735245	37.910576
5443.925929	-19.696083	-159.085907	38.611923
5443.929311	-19.929867	-158.793686	38.261250
5443.932661	-19.637638	-158.267685	38.553474
5443.936033	-19.579193	-158.852127	37.618351
5443.939244	-19.520748	-159.085907	38.144360
5443.942574	-19.696083	-159.085907	37.618351
5443.945913	-19.345413	-159.436584	38.202805
5443.949266	-19.111629	-159.495026	39.371712
5443.952606	-19.111629	-159.611923	39.021038
5443.955994	-19.637638	-159.728821	38.611923
5443.959305	-19.345413	-160.488602	39.371712
5443.962624	-19.170074	-159.962601	39.722382
5443.965905	-19.228519	-161.423721	39.780827
5443.969237	-19.286968	-161.014603	40.248390
5443.972599	-19.170074	-161.365280	39.663937
5443.975975	-19.462303	-162.417297	40.423725
5443.979342	-18.994740	-162.241959	40.306835
5443.982634	-19.462303	-162.417297	41.358852
5443.985535	-19.228519	-163.177094	41.534187
5443.989237	-19.053185	-164.345993	41.534187
5443.992570	-18.994740	-164.462875	42.527760
5443.995480	-18.644070	-165.281113	42.936874
5443.998813	-18.585621	-166.040909	43.462887
5444.002144	-19.111629	-166.742249	44.164230
5444.005506	-19.170074	-167.326706	44.047340
5444.008832	-18.994740	-167.618927	44.573349
5444.012171	-18.936295	-168.670959	44.924019
5444.015503	-18.760960	-169.722961	45.625366
5444.018878	-19.053185	-170.190521	46.502045
5444.022141	-19.345413	-171.300980	47.554062
5444.025469	-19.520748	-172.119232	47.846287
5444.028814	-19.696083	-172.411453	48.722969
5444.032150	-19.053185	-173.697250	49.073639
5444.035473	-19.286968	-174.749268	50.125656
5444.038803	-19.111629	-175.625946	51.177670
5444.042149	-19.403858	-177.496201	51.762123
5444.045498	-19.403858	-178.489777	52.814144
5444.048846	-18.877850	-178.957336	54.392166
5444.052169	-19.111629	-180.476898	55.035065
5444.055556	-19.286968	-181.762711	55.502628
5444.058803	-19.228519	-183.632965	56.963764
5444.062168	-19.462303	-184.217407	58.775566
5444.065473	-19.637638	-186.029221	59.418468
5444.068801	-19.988312	-188.600815	60.061367
5444.072142	-19.520748	-188.659271	60.938049
5444.075471	-19.228519	-190.003510	62.925190
5444.078802	-19.637638	-191.698425	64.970772
5444.082157	-19.812973	-194.211563	65.555229
5444.085500	-19.988312	-195.146698	67.483932
5444.088822	-19.812973	-196.081818	68.594391
5444.092170	-19.637638	-197.133835	70.347755
5444.095469	-20.163647	-199.939209	71.633553
5444.098796	-20.105202	-201.108124	73.620689
5444.102129	-19.988312	-202.686142	74.964935
5444.105485	-19.988312	-205.023956	77.653427
5444.108794	-20.280537	-206.368195	79.757454
5444.112133	-20.338982	-209.524246	81.803040
5444.115493	-20.397427	-211.043823	84.783752
5444.118824	-20.046757	-213.147858	86.127998
5444.122156	-20.105202	-215.310333	87.180016
5444.125526	-20.397427	-217.005249	90.219177
5444.128842	-20.631210	-218.875504	92.030975
5444.132134	-20.455872	-220.687302	95.128578
5444.135491	-20.689655	-222.732910	96.765053
5444.138808	-19.988312	-225.713608	100.505554
5444.142129	-20.514317	-228.460541	102.609581
5444.145464	-20.338982	-229.921677	105.824089
5444.148798	-20.280537	-232.785507	108.395683
5444.152143	-20.514317	-235.298645	111.025711
5444.155482	-20.689655	-237.753357	114.883110
5444.158820	-20.338982	-240.032730	118.331383
5444.161708	-20.981880	-242.545883	122.013451
5444.165031	-20.514317	-245.701920	125.286385
5444.168372	-20.864990	-247.981293	128.559326
5444.171742	-21.215664	-249.793091	132.650497
5444.175034	-21.157219	-253.182922	137.384567
5444.178385	-21.040329	-255.929871	142.001755
5444.181702	-20.397427	-258.852142	144.573349
5444.185035	-20.864990	-261.014618	150.184097
5444.188367	-20.689655	-264.579773	154.158386
5444.191701	-20.689655	-267.735840	158.834015
5444.195035	-20.105202	-269.956757	164.678543
5444.198367	-20.455872	-272.294556	169.061951
5444.201699	-20.280537	-275.742828	174.731155
5444.205030	-20.105202	-278.431335	179.582123
5444.208361	-19.988312	-281.587372	185.309769
5444.211701	-19.929867	-284.217438	191.154297
5444.215059	-20.163647	-288.308594	197.407944
5444.218360	-20.397427	-291.055511	202.843369
5444.221703	-19.696083	-293.276428	210.149033
5444.225061	-19.403858	-296.081818	215.759781
5444.228362	-19.286968	-299.237854	223.591476
5444.231696	-19.403858	-301.341919	230.546463
5444.235030	-18.994740	-303.855042	236.917007
5444.238359	-19.286968	-306.192871	243.579773
5444.241697	-18.234951	-310.751587	251.937469
5444.245028	-18.760960	-312.154297	258.892487
5444.248364	-18.585621	-315.368774	267.367035
5444.251698	-17.358269	-318.875519	275.432495
5444.255034	-17.416718	-320.161316	284.783752
5444.258396	-17.182934	-322.148468	294.544128
5444.261700	-17.124489	-325.596741	301.791351
