time (s)	det(V)
6806.658581	0.233030	
6806.660056	0.218758	
6806.661696	0.267464	
6806.663196	0.348309	
6806.664769	0.324405	
6806.666323	0.408782	
6806.667861	0.415284	
6806.669478	0.394485	
6806.670971	0.413032	
6806.672637	0.419449	
6806.674122	0.394272	
6806.675779	0.450789	
6806.677270	0.519085	
6806.678904	0.425911	
6806.680381	0.508068	
6806.682027	0.446982	
6806.683518	0.568650	
6806.685144	0.506292	
6806.686641	0.589005	
6806.688251	0.509256	
6806.689768	0.591478	
6806.691327	0.574620	
6806.692864	0.719003	
6806.694360	0.655235	
6806.696020	0.650956	
6806.697516	0.659799	
6806.699157	0.690249	
6806.700678	0.800814	
6806.702327	0.758348	
6806.703815	0.857710	
6806.705469	0.749497	
6806.706945	0.932206	
6806.708588	0.920499	
6806.710074	0.984948	
6806.711729	0.927968	
6806.713211	1.037659	
6806.714810	1.011709	
6806.716337	1.099381	
6806.717886	1.114640	
6806.719447	1.041236	
6806.721046	1.165184	
6806.722673	1.103784	
6806.724155	1.281099	
6806.725796	1.140208	
6806.727318	1.330518	
6806.728953	1.389162	
6806.730432	1.426239	
6806.732068	1.424825	
6806.733551	1.487139	
6806.735185	1.486257	
6806.736659	1.542230	
6806.738301	1.536377	
6806.739814	1.535902	
6806.741380	1.541255	
6806.742951	1.553006	
6806.744575	1.549292	
6806.746141	1.551536	
6806.747720	1.543189	
6806.749318	1.546029	
6806.750895	1.548144	
6806.752507	1.552342	
6806.754047	1.553111	
6806.755705	1.552338	
6806.757187	1.553808	
6806.758910	1.551725	
6806.760382	1.553997	
6806.762109	1.553538	
6806.763579	1.553888	
6806.765280	1.550037	
6806.766761	1.553614	
6806.768462	1.552736	
6806.769947	1.553695	
6806.771649	1.550694	
6806.773147	1.552994	
6806.774833	1.553292	
6806.776354	1.554053	
6806.778013	1.553671	
6806.779554	1.553715	
6806.781183	1.553663	
6806.782751	1.553836	
6806.784352	1.553921	
6806.785957	1.547217	
6806.787511	1.554029	
6806.789133	1.553465	
6806.790647	1.554199	
6806.792338	1.553880	
6806.793813	1.553739	
6806.795535	1.554005	
6806.797005	1.554078	
6806.798714	1.553860	
6806.800193	1.554199	
6806.801894	1.553900	
6806.803378	1.554037	
6806.805099	1.553973	
6806.806598	1.554009	
6806.808299	1.553667	
6806.809784	1.554114	
6806.811459	1.553381	
6806.812973	1.554029	
6806.814633	1.553876	
6806.816173	1.554114	
6806.817790	1.554271	
6806.819373	1.554102	
6806.820951	1.554122	
6806.822556	1.554065	
6806.824103	1.554211	
6806.825763	1.553619	
6806.827255	1.554158	
6806.828964	1.552402	
6806.830439	1.553723	
6806.832139	1.553590	
6806.833616	1.554170	
6806.835322	1.554070	
6806.836814	1.554001	
6806.838528	1.553921	
6806.840013	1.554158	
6806.841731	1.553405	
6806.843210	1.553997	
6806.844894	1.554166	
6806.846394	1.554231	
6806.848054	1.554182	
6806.849581	1.553961	
6806.851207	1.551439	
6806.852774	1.549969	
6806.854372	1.554049	
6806.855976	1.549054	
6806.857531	1.554122	
6806.859150	1.548881	
6806.860672	1.554174	
6806.862341	1.553880	
6806.863833	1.554315	
6806.865551	1.554102	
6806.867038	1.554227	
6806.868779	1.554013	
6806.870246	1.553977	
6806.871969	1.554078	
6806.873452	1.553659	
6806.875153	1.553921	
6806.876629	1.553921	
6806.878320	1.554138	
6806.879810	1.553796	
6806.881497	1.553792	
6806.883015	1.554066	
6806.884648	1.554037	
6806.886198	1.554045	
6806.887823	1.554126	
6806.889380	1.550742	
6806.890967	1.553977	
6806.892555	1.553771	
6806.894100	1.554070	
6806.895754	1.553224	
6806.897247	1.554098	
6806.898953	1.553852	
6806.900427	1.554110	
6806.902165	1.553884	
6806.903633	1.554062	
6806.905342	1.553441	
6806.906824	1.552547	
6806.908539	1.550899	
6806.910024	1.551109	
6806.911708	1.553562	
6806.913199	1.553014	
6806.914888	1.553212	
6806.916409	1.553562	
6806.918060	1.548172	
6806.919585	1.552817	
6806.921218	1.546931	
6806.922773	1.531519	
6806.924381	1.400023	
6806.925992	1.320890	
6806.927556	1.062937	
6806.929169	0.907742	
6806.930704	0.787118	
6806.932368	0.630730	
6806.933844	0.415457	
6806.935564	0.333670	
6806.937036	0.194814	
6806.938746	-0.050809	
6806.940229	-0.280516	
6806.941942	-0.318785	
6806.943427	-0.454427	
6806.945127	-0.612300	
6806.946622	-0.747652	
6806.948322	-1.044152	
6806.949805	-1.159391	
6806.951476	-1.346696	
6806.952980	-1.398661	
6806.954624	-1.580632	
6806.956159	-1.540047	
6806.957791	-1.661823	
6806.959370	-1.650201	
6806.960948	-1.677272	
6806.962558	-1.640223	
6806.964102	-1.698855	
6806.965745	-1.696974	
6806.967239	-1.689393	
6806.968933	-1.697095	
6806.970408	-1.698086	
6806.972119	-1.696152	
6806.973598	-1.698396	
6806.975310	-1.695141	
6806.976804	-1.696765	
6806.978521	-1.695395	
6806.980000	-1.699081	
6806.981785	-1.697313	
6806.983262	-1.699117	
6806.985036	-1.697413	
6806.986510	-1.699214	
6806.988281	-1.698968	
6806.989766	-1.699025	
6806.991523	-1.696728	
6806.993039	-1.699234	
6806.994773	-1.697893	
6806.996297	-1.699008	
6806.998022	-1.696958	
6806.999556	-1.699170	
6807.001286	-1.696890	
6807.002837	-1.699202	
6807.004532	-1.698078	
6807.006087	-1.699178	
6807.007766	-1.698912	
6807.009341	-1.689896	
6807.010999	-1.698541	
6807.012581	-1.699323	
6807.014222	-1.695999	
6807.015819	-1.699242	
6807.017422	-1.698303	
6807.019044	-1.698718	
6807.020649	-1.699198	
6807.022324	-1.697885	
6807.023930	-1.697788	
6807.025582	-1.697889	
6807.027173	-1.699286	
6807.028865	-1.699218	
6807.030422	-1.698473	
6807.032139	-1.696354	
6807.033677	-1.699339	
6807.035378	-1.698146	
6807.036941	-1.699347	
6807.038633	-1.696640	
6807.040150	-1.698449	
6807.041881	-1.697490	
6807.043370	-1.699242	
6807.045161	-1.698259	
6807.046647	-1.699194	
6807.048428	-1.697611	
6807.049909	-1.699230	
6807.051695	-1.697691	
6807.053174	-1.699294	
6807.054945	-1.698658	
6807.056442	-1.699303	
6807.058208	-1.696378	
6807.059710	-1.699013	
6807.061457	-1.695737	
6807.062969	-1.698791	
6807.064700	-1.697123	
6807.066230	-1.699311	
6807.067949	-1.697570	
6807.069497	-1.698912	
6807.071212	-1.698493	
6807.072769	-1.699343	
6807.074453	-1.696346	
6807.076012	-1.698283	
6807.077679	-1.696253	
6807.079265	-1.698457	
6807.080921	-1.697941	
6807.082534	-1.699166	
6807.084164	-1.697832	
6807.085774	-1.698807	
6807.087408	-1.699315	
6807.089034	-1.698932	
6807.090654	-1.699145	
6807.092308	-1.698404	
6807.093885	-1.698892	
6807.095565	-1.695774	
6807.097130	-1.686416	
6807.098832	-1.696757	
6807.100395	-1.699053	
6807.102064	-1.696463	
6807.103612	-1.699117	
6807.105334	-1.696169	
6807.106872	-1.698771	
6807.108598	-1.697728	
6807.110094	-1.697856	
6807.111867	-1.695492	
6807.113352	-1.698537	
6807.115136	-1.695943	
6807.116614	-1.694082	
6807.118399	-1.694597	
6807.119890	-1.687717	
6807.121674	-1.697023	
6807.123148	-1.698892	
6807.124901	-1.694618	
6807.126398	-1.697562	
6807.128127	-1.694098	
6807.129644	-1.690114	
6807.131351	-1.685759	
6807.132876	-1.688752	
6807.134602	-1.690791	
6807.136146	-1.655039	
6807.137838	-1.677288	
6807.139390	-1.531495	
6807.141072	-1.595666	
6807.142635	-1.537425	
6807.144302	-1.492686	
6807.145892	-1.485089	
6807.147514	-1.425925	
6807.149139	-1.363534	
6807.150763	-1.310509	
6807.152370	-1.309228	
6807.153997	-1.299903	
