crossing time (s)	slope (V/s)	crossing number
7098.633391	-74.326533	2741
7099.676188	-74.075804	2742
7100.684327	-68.466089	2743
7101.740852	-67.377713	2744
7102.729571	-65.201046	2745
7103.774613	-63.063184	2746
7104.767812	-59.398388	2747
7105.816263	-58.902984	2748
7106.806532	-54.873513	2749
7107.841013	-54.409875	2750
7108.847132	-50.340183	2751
7109.909514	-47.949408	2752
7110.923268	-47.422317	2753
7111.931924	-44.852219	2754
7112.974237	-43.541955	2755
7113.975256	-41.953212	2756
7115.006997	-38.753814	2757
7116.024369	-37.059337	2758
7117.005910	-35.592657	2759
7118.090913	-34.935414	2760
7119.094037	-33.135126	2761
7120.105085	-30.157444	2762
7121.157443	-31.659379	2763
7122.159752	-29.209815	2764
7123.185301	-27.078740	2765
7124.213331	-26.905080	2766
7125.238396	-25.834243	2767
7126.254014	-24.371076	2768
7127.295967	-23.882202	2769
7128.297277	-22.731897	2770
7129.316858	-20.528878	2771
7130.318640	-20.286365	2772
7131.385964	-19.224772	2773
7132.390031	-16.938983	2774
7133.406685	-17.505216	2775
7134.450459	-16.584192	2776
7135.471086	-14.808825	2777
7136.483606	-14.797101	2778
7137.485773	-13.905125	2779
7138.564871	-15.434846	2780
7139.524962	-14.398589	2781
7140.597715	-11.420157	2782
7141.575054	-11.257911	2783
7142.618735	-10.841825	2784
