time (s)	det(V)
9762.490096	1.574122	
9762.491576	1.574239	
9762.493223	1.574239	
9762.494724	1.574243	
9762.496360	1.574227	
9762.497857	1.574235	
9762.499500	1.574179	
9762.500985	1.574207	
9762.502602	1.574267	
9762.504099	1.574191	
9762.505681	1.574279	
9762.507220	1.574303	
9762.508723	1.574319	
9762.510382	1.574303	
9762.511876	1.574307	
9762.513496	1.574235	
9762.515025	1.574190	
9762.516667	1.574271	
9762.518143	1.574219	
9762.519789	1.574243	
9762.521265	1.574239	
9762.522910	1.574243	
9762.524386	1.574275	
9762.526034	1.574283	
9762.527525	1.574199	
9762.529101	1.574299	
9762.530640	1.574199	
9762.532184	1.574243	
9762.533783	1.574255	
9762.535369	1.574275	
9762.536974	1.574311	
9762.538538	1.574307	
9762.540172	1.574186	
9762.541702	1.574303	
9762.543371	1.574275	
9762.544843	1.574380	
9762.546559	1.574271	
9762.548039	1.574348	
9762.549771	1.574311	
9762.551252	1.574215	
9762.552982	1.574263	
9762.554471	1.574235	
9762.556193	1.574307	
9762.557675	1.574223	
9762.559368	1.574332	
9762.560847	1.574171	
9762.562523	1.574392	
9762.564040	1.574235	
9762.565679	1.574307	
9762.567234	1.574219	
9762.568841	1.574271	
9762.570413	1.574211	
9762.571994	1.574291	
9762.573605	1.574219	
9762.575170	1.574283	
9762.576816	1.574247	
9762.578317	1.574360	
9762.580025	1.574215	
9762.581512	1.574315	
9762.583247	1.574174	
9762.584719	1.574279	
9762.586452	1.574223	
9762.587929	1.574328	
9762.589653	1.574118	
9762.591129	1.574223	
9762.592824	1.574130	
9762.594307	1.574279	
9762.596012	1.574154	
9762.597501	1.574275	
9762.599158	1.574215	
9762.600685	1.574199	
9762.602337	1.574122	
9762.603874	1.574219	
9762.605498	1.574066	
9762.607061	1.574146	
9762.608623	1.574235	
9762.610224	1.574170	
9762.611765	1.574295	
9762.613444	1.574130	
9762.614930	1.574372	
9762.616639	1.574046	
9762.618112	1.574243	
9762.619814	1.574013	
9762.621287	1.574315	
9762.623009	1.573772	
9762.624483	1.574138	
9762.626183	1.574001	
9762.627677	1.574005	
9762.629385	1.573715	
9762.630883	1.554810	
9762.632573	1.379586	
9762.634081	1.158404	
9762.635738	0.971469	
9762.637261	0.845065	
9762.638888	0.580271	
9762.640450	0.454321	
9762.642047	0.306510	
9762.643647	0.115447	
9762.645206	-0.104833	
9762.646831	-0.302648	
9762.648351	-0.480930	
9762.650042	-0.636898	
9762.651521	-0.858689	
9762.653222	-1.001771	
9762.654693	-1.195280	
9762.656401	-1.347091	
9762.657888	-1.533292	
9762.659607	-1.669087	
9762.661104	-1.679210	
9762.662813	-1.679045	
9762.664297	-1.679347	
9762.666007	-1.678730	
9762.667491	-1.679383	
9762.669151	-1.678618	
9762.670669	-1.679403	
9762.672313	-1.679065	
9762.673874	-1.679407	
9762.675481	-1.679262	
9762.677062	-1.679347	
9762.678622	-1.678553	
9762.680234	-1.679387	
9762.681778	-1.679290	
9762.683437	-1.679298	
9762.684938	-1.679298	
9762.686641	-1.679407	
9762.688123	-1.679395	
9762.689838	-1.679347	
9762.691320	-1.679323	
9762.693045	-1.679311	
9762.694526	-1.679411	
9762.696222	-1.679395	
9762.697701	-1.679415	
9762.699418	-1.678356	
9762.700893	-1.679492	
9762.702584	-1.678904	
9762.704085	-1.679524	
9762.705730	-1.679149	
9762.707268	-1.679439	
9762.708885	-1.679310	
9762.710449	-1.679504	
9762.712033	-1.679298	
9762.713644	-1.679512	
9762.715211	-1.679125	
9762.716842	-1.679399	
9762.718381	-1.679383	
9762.720054	-1.679371	
9762.721646	-1.679323	
9762.723303	-1.679246	
9762.724868	-1.679395	
9762.726563	-1.679395	
9762.728121	-1.679339	
9762.729812	-1.678722	
9762.731373	-1.679387	
9762.733062	-1.679431	
9762.734609	-1.679343	
9762.736336	-1.679375	
9762.737824	-1.679411	
9762.739588	-1.679403	
9762.741064	-1.679347	
9762.742829	-1.678888	
9762.744317	-1.679419	
9762.746077	-1.678775	
9762.747558	-1.679427	
9762.749336	-1.679363	
9762.750826	-1.679500	
9762.752590	-1.679210	
9762.754093	-1.679476	
9762.755830	-1.678851	
9762.757340	-1.679427	
9762.759060	-1.679246	
9762.760589	-1.679423	
9762.762295	-1.679238	
9762.763849	-1.679476	
9762.765537	-1.678867	
9762.767086	-1.679488	
9762.768769	-1.679226	
9762.770334	-1.679456	
9762.771995	-1.678771	
9762.773590	-1.679435	
9762.775229	-1.678593	
9762.776850	-1.679391	
9762.778478	-1.679323	
9762.780109	-1.679073	
9762.781729	-1.679319	
9762.783389	-1.679415	
9762.784994	-1.679395	
9762.786664	-1.679379	
9762.788254	-1.679234	
9762.789935	-1.679367	
9762.791508	-1.679339	
9762.793210	-1.679190	
9762.794781	-1.679262	
9762.796472	-1.679274	
9762.798027	-1.679121	
9762.799734	-1.679286	
9762.801275	-1.679310	
9762.802999	-1.678759	
9762.804499	-1.679351	
