time (s)	magX	magY	magZ
7364.352967	278.494446	127.953835	126.533028
7364.356306	272.182343	126.492699	120.863823
7364.359633	267.331360	124.213333	114.902397
7364.362971	264.000000	122.226181	109.408524
7364.366305	259.441284	120.355934	104.849800
7364.369634	255.233185	118.544128	100.057274
7364.372965	250.616028	117.784340	95.264755
7364.376304	245.765060	115.504974	90.413788
7364.379634	241.673874	112.991814	86.965515
7364.382975	237.699600	112.348923	83.634132
7364.386298	233.725311	110.537117	78.724724
7364.389633	229.634140	109.543541	74.808884
7364.392970	226.185867	107.322624	71.126823
7364.396301	222.328461	105.744591	68.438339
7364.399652	218.120407	104.283470	66.334312
7364.402957	214.087677	102.763885	61.600231
7364.406303	209.996490	101.711868	59.320866
7364.409625	206.606674	99.783173	56.398594
7364.412994	204.151962	98.322037	53.067215
7364.416303	199.651672	97.562248	50.787842
7364.419626	197.313858	95.925774	48.508472
7364.422959	193.514908	94.932205	46.170662
7364.426307	190.767975	93.821747	43.540619
7364.429630	187.027481	92.185280	41.845703
7364.432963	184.806549	91.133263	40.150787
7364.436296	182.585632	89.905907	37.871422
7364.439628	179.020462	89.438339	36.176506
7364.442959	176.624207	87.684982	34.540035
7364.446300	174.987732	86.691414	33.371128
7364.449643	171.831680	85.990074	31.676212
7364.452964	170.370544	85.347168	30.390415
7364.456297	167.857391	83.944481	28.227938
7364.459626	164.818237	83.535362	26.825247
7364.462977	162.714203	82.249565	25.597895
7364.466296	160.551727	81.314438	24.545879
7364.469623	159.441269	80.613091	23.376972
7364.472960	157.220337	79.677971	22.149620
7364.476287	154.882523	79.035072	21.389830
7364.479625	152.486267	78.275284	19.987143
7364.482958	150.966690	76.931038	18.993570
7364.486290	149.154892	75.879021	18.233780
7364.489629	148.628876	75.820580	17.473991
7364.492991	145.881943	74.651672	17.123320
7364.496285	144.011703	74.242546	15.720631
7364.499623	142.784348	73.307426	15.428404
7364.502957	141.323196	73.015198	14.434834
7364.506287	139.452957	71.554062	13.733490
7364.509620	138.050262	70.677383	12.389246
7364.512957	136.355347	70.209824	11.746347
7364.516287	135.303329	69.742264	11.278784
7364.519619	134.485092	69.450035	10.168323
7364.522953	132.030396	68.690247	9.583869
7364.526290	130.919922	67.930450	9.057861
7364.529621	130.160141	67.813560	8.707189
7364.532958	128.406784	67.229111	8.414962
7364.536312	127.822327	66.060204	7.479836
7364.539617	126.419632	66.410873	7.304500
7364.542955	125.426071	65.358856	6.018703
7364.546288	124.374054	64.891296	5.901812
7364.549615	123.322044	63.956165	5.726476
7364.552949	122.679138	63.254822	5.375804
7364.556280	121.802460	63.430157	5.609585
7364.559615	120.808884	63.371712	4.732905
7364.562949	119.932205	62.787258	4.090006
7364.566284	119.639977	62.962593	3.973115
7364.569611	118.529518	62.261250	3.680888
7364.572947	117.711281	62.202808	2.687317
7364.576282	117.477493	62.261250	2.862653
7364.579635	116.717712	62.261250	2.979544
7364.582941	116.074806	61.209232	2.102864
7364.586281	115.315025	61.384571	2.804208
7364.589618	114.964348	61.092342	2.687317
7364.592941	114.672119	61.735245	2.628872
7364.596286	113.620110	60.800117	2.687317
7364.599617	114.146118	60.683228	2.687317
7364.602941	113.444778	60.683228	1.401520
7364.606279	113.094101	60.917011	1.109293
7364.609619	113.035652	60.800117	3.096435
7364.612943	112.568085	60.683228	1.927528
7364.616275	112.217415	60.507889	2.804208
7364.619606	111.516075	60.566338	1.518410
7364.622967	111.749855	60.624779	0.933957
7364.626271	111.866745	60.975452	0.466394
7364.629608	111.223846	60.449448	0.583285
7364.632949	111.574524	60.332558	0.700175
7364.636281	110.931618	60.274109	0.700175
7364.639603	110.580948	60.274109	0.174167
7364.642939	111.399185	60.332558	0.583285
7364.646270	110.814728	60.332558	0.524839
7364.649605	109.821159	60.040325	-0.001169
7364.652944	110.347168	60.390999	1.459965
7364.656271	110.931618	60.507889	0.115722
7364.659605	110.522507	60.624779	-0.001169
7364.662994	109.938049	59.981884	0.875511
7364.666302	109.938049	60.040325	0.641730
7364.669608	109.996490	59.981884	0.466394
7364.672941	110.230278	60.800117	0.641730
7364.676277	110.171829	60.683228	0.758621
7364.679604	110.347168	60.683228	0.992402
7364.682938	110.230278	60.800117	1.459965
7364.686269	110.405617	60.917011	1.167738
7364.689601	111.282288	61.501461	2.336645
7364.692931	111.808304	61.384571	2.044418
7364.696271	111.691414	62.319698	3.505552
7364.699599	112.042084	61.852135	1.752192
7364.702934	112.158974	62.202808	2.453536
7364.706267	112.743431	63.313267	1.985973
7364.709619	112.918762	63.547047	2.453536
7364.712934	113.970779	63.839275	2.862653
7364.716266	114.789017	64.306839	4.265342
7364.719604	114.496788	65.066628	2.395091
7364.722931	115.315025	66.060204	3.505552
7364.726264	116.191704	65.943314	3.447107
7364.729601	116.542374	66.118645	4.148451
7364.732935	117.886620	66.586205	5.200468
7364.736263	117.594391	66.995323	5.200468
7364.739598	118.763298	67.229111	5.609585
7364.742930	119.523094	68.105789	5.492694
7364.746265	120.516655	68.456467	5.784921
7364.749600	121.744011	68.807137	7.129164
7364.752969	121.919342	69.625374	7.187610
7364.756262	122.445351	69.976044	8.648743
7364.759599	123.848038	70.560493	8.122736
7364.762930	124.841614	71.320282	8.122736
7364.766260	125.718292	71.729401	8.064290
7364.769594	127.004097	72.664528	8.181181
7364.772931	128.173004	73.482765	9.817650
7364.776257	129.049683	74.125656	9.700760
7364.779591	130.043243	74.710114	10.635885
7364.782929	131.036819	75.703682	10.869667
7364.786259	132.497955	75.820580	11.863237
7364.789591	133.783752	76.989487	12.155464
7364.792924	134.835770	78.333733	12.389246
7364.796281	136.706024	78.684402	12.856808
7364.799591	138.108704	79.853310	14.317944
7364.802925	139.102280	80.496201	14.785505
7364.806254	140.154297	81.781998	15.603741
7364.809588	141.615433	82.249565	15.954412
7364.812922	143.368790	83.535362	17.181765
7364.816259	145.180603	84.762718	18.409117
7364.819586	146.232620	85.464058	18.526007
7364.822918	148.804214	86.983635	19.578024
7364.826284	149.213318	88.503220	20.104033
7364.829588	151.726486	89.029228	20.571594
7364.832923	153.012268	90.665695	22.266510
7364.836252	156.051422	92.126831	23.610754
7364.839589	157.804794	93.237289	24.253653
7364.842925	159.382812	94.406197	26.883694
7364.846255	161.019287	95.867332	28.403273
7364.849589	164.058441	97.036240	29.805962
7364.852919	165.578033	98.380478	30.448860
7364.856248	168.441849	100.542961	31.325541
7364.859581	170.896545	101.828758	34.014027
7364.862936	173.409714	103.406776	35.475163
7364.866253	175.572174	105.277031	39.683224
7364.869585	178.319122	107.030396	41.319695
7364.872915	179.838684	108.842201	42.722382
7364.876252	183.812973	110.361786	45.644653
7364.879584	185.683228	112.348923	46.988895
7364.882926	188.371719	114.219170	48.976036
7364.886248	192.229111	116.381653	51.255405
7364.889586	194.976044	118.076569	55.580360
7364.892920	198.015198	120.414383	57.216827
7364.896250	200.995911	122.576859	60.489773
7364.899585	204.444183	124.330215	62.418465
7364.902917	206.781998	126.960258	66.334312
7364.906246	210.756287	129.239624	69.548805
7364.909577	214.379898	131.694336	71.594391
7364.912911	216.951492	133.739914	76.445351
7364.916243	221.685577	136.253067	80.127411
7364.919581	224.607849	138.649323	82.932785
7364.922914	228.582123	141.513138	86.790176
7364.926251	231.153717	144.201630	91.173584
7364.929575	235.654022	146.481003	94.271187
7364.932915	239.511383	149.169495	99.063705
7364.936248	243.602585	151.682632	103.856224
7364.939582	246.232620	154.897125	108.824081
7364.942914	250.440689	157.936279	113.324371
7364.946246	253.772064	160.274109	119.227356
7364.949576	257.454132	163.079483	124.838104
7364.952909	261.136169	166.819992	130.273529
7364.956242	265.110443	169.450027	136.585617
7364.959578	270.604309	172.372284	145.001755
7364.962914	273.760376	176.171234	150.787842
7364.966238	278.085327	179.970184	158.853302
7364.969603	281.533630	183.243134	165.340744
7364.972902	286.209259	186.983627	174.165985
7364.976241	290.125092	190.782578	180.945648
7364.979570	295.852722	194.581528	189.770889
7364.982905	297.722992	197.679138	198.537704
7364.986234	302.866180	200.601395	208.940964
7364.989573	307.424896	205.043259	217.649323
7364.992909	311.165405	208.082397	227.117477
7364.996252	314.905914	212.699585	237.754517
7364.999606	319.347748	215.738739	247.047333
7365.002903	322.036224	219.303909	258.385742
7365.006236	326.945648	224.154892	270.542358
7365.009574	330.510803	227.077133	282.056091
7365.012911	332.556396	230.291641	294.271179
7365.016240	336.530670	234.324371	307.830505
7365.019566	339.219147	237.889542	321.915833
7365.022899	343.602570	241.688477	334.072479
7365.026233	345.940399	244.727646	347.807129
7365.029568	347.752197	247.766785	363.178253
