time (s)	magX	magY	magZ
10297.239668	140.914093	74.768562	25.130333
10297.242982	140.154297	74.125656	25.013443
10297.246314	138.868484	73.891876	23.786091
10297.249651	137.348923	73.774986	22.734072
10297.252988	136.004684	72.898308	22.324955
10297.256312	135.011108	71.612511	20.922268
10297.259647	133.900650	71.378731	21.214495
10297.262987	132.848618	70.735832	19.753361
10297.266319	131.562836	70.502045	19.052017
10297.269652	130.510818	69.859154	19.285797
10297.272979	129.225006	70.092934	19.052017
10297.276335	129.225006	69.508484	18.584454
10297.279654	127.997665	69.099358	16.947983
10297.282999	126.945648	68.222679	16.714203
10297.286314	125.952072	67.930450	15.720631
10297.289643	125.133842	67.988899	15.428404
10297.292978	124.081825	67.638222	15.194624
10297.296310	123.555824	67.053772	14.610168
10297.299645	122.854477	67.112213	14.317944
10297.302976	122.036240	66.527763	12.739918
10297.306309	121.334892	66.060204	13.441263
10297.309646	120.984215	65.651077	13.908825
10297.312974	120.399773	64.832848	13.324371
10297.316315	120.107536	64.540619	12.272356
10297.319643	119.464645	64.306839	11.629456
10297.322981	119.172417	64.482170	11.804792
10297.326322	118.295738	64.014610	11.571011
10297.329637	118.295738	63.547047	12.506136
10297.332978	117.360611	64.248390	12.623028
10297.336307	117.185280	63.254822	11.687902
10297.339641	116.951500	63.371712	12.155464
10297.342975	116.951500	63.488605	11.571011
10297.346304	116.016373	63.021042	10.928112
10297.349641	116.250153	63.021042	10.811222
10297.352977	116.308594	62.728813	10.869667
10297.356303	115.724144	62.319698	11.045004
10297.359638	115.957924	62.670368	10.869667
10297.363003	115.899475	62.611919	11.454121
10297.366304	115.373466	62.728813	10.168323
10297.369643	115.607246	62.670368	11.278784
10297.372976	116.133255	63.021042	10.577440
10297.376303	115.782593	63.021042	10.752777
10297.379637	115.431915	62.553478	9.583869
10297.382967	115.607246	62.845703	10.752777
10297.386304	115.841026	62.670368	10.402103
10297.389635	115.548813	62.670368	10.168323
10297.392966	115.665695	62.495029	10.694330
10297.396304	115.957924	62.261250	9.934542
10297.399640	115.899475	63.254822	11.220339
10297.402968	116.133255	62.553478	10.986557
