time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8205.613678	264.177063	1.119315	0.100000	49
8207.660821	264.155151	1.101654	0.100000	51
8209.705401	264.042816	1.092471	0.100000	53
8211.226744	317.202667	-0.105837	-0.100000	55
8212.272417	151.974518	-0.149461	-0.100000	57
8213.785957	265.405853	1.067773	0.073062	59
8215.829583	85.644150	-1.046204	-0.071289	61
8217.874978	265.254425	1.029710	0.070542	63
8219.921856	270.238861	1.039896	0.100000	65
8221.967507	264.827179	0.999938	0.070028	67
8224.012724	264.757080	0.987237	0.069238	69
8226.055868	87.245483	-0.397658	-0.100000	71
8227.071277	259.400116	-0.371657	-0.100000	73
8229.116448	264.345184	-0.336051	-0.100000	75
8230.140423	83.405556	-0.572408	-0.100000	77
8231.163777	274.924927	-0.454099	-0.100000	79
8233.209666	265.400299	-0.916351	-0.066227	81
8235.252645	265.463043	-0.903147	-0.065106	83
8237.293381	265.319580	-0.890354	-0.100000	85
8239.331376	265.246399	-0.878748	-0.063923	87
8241.372889	265.390930	-0.864341	-0.064237	89
8243.417439	264.591034	-0.824460	-0.100000	91
8245.462554	265.251953	-0.753813	-0.100000	93
8247.506393	265.535461	-0.805596	-0.100000	95
8249.058634	147.211563	-0.067361	-0.100000	97
8250.067246	336.071960	-0.076917	-0.100000	99
8251.591883	265.497467	-0.796676	-0.100000	101
8253.157710	149.681656	-0.067300	-0.100000	103
8254.673644	84.845734	-0.785295	-0.060733	105
8256.713446	85.652863	-0.772111	-0.059646	107
8258.753908	86.038063	-0.755364	-0.057970	109
8260.796623	85.900749	-0.742400	-0.056900	111
8262.842183	85.779999	-0.729562	-0.055863	113
8264.886596	85.596077	-0.716021	-0.055185	115
8266.930591	85.570000	-0.705263	-0.054563	117
8268.973427	85.484894	-0.693601	-0.053488	119
8271.015547	85.343987	-0.684019	-0.052683	121
8273.059736	85.208946	-0.670949	-0.051894	123
8275.103398	85.192192	-0.656509	-0.051398	125
8277.155937	85.272827	-0.645340	-0.050544	127
8279.203973	85.288620	-0.634437	-0.049383	129
8281.252670	85.297188	-0.627934	-0.048515	131
8283.297709	85.118935	-0.617987	-0.047316	133
8285.339760	84.951942	-0.608243	-0.046470	135
8287.386413	84.798645	-0.595768	-0.045890	137
8289.430336	84.638260	-0.587952	-0.045071	139
8291.471491	84.660263	-0.578606	-0.044119	141
8293.512087	84.911346	-0.571534	-0.044006	143
8295.549537	85.552208	-0.561228	-0.042827	145
8297.587135	85.847733	-0.548161	-0.041733	147
8299.623158	86.148453	-0.537344	-0.040306	149
8301.671307	86.283295	-0.526097	-0.039280	151
8303.716036	85.910187	-0.518743	-0.038034	153
8305.758030	85.739296	-0.510978	-0.037495	155
8307.802710	85.587036	-0.502427	-0.036500	157
8309.843782	85.523796	-0.494337	-0.036044	159
8311.891468	85.314316	-0.485244	-0.035410	161
8313.936578	85.186760	-0.475112	-0.034783	163
8315.987180	85.359276	-0.465244	-0.033970	165
8318.036669	85.450974	-0.457643	-0.032768	167
8320.088377	85.289024	-0.450992	-0.031815	169
8322.131601	85.073502	-0.443073	-0.030858	171
8324.175237	84.968277	-0.435382	-0.030522	173
8326.219837	84.828011	-0.428688	-0.029798	175
8328.261695	84.757751	-0.421305	-0.029192	177
8330.303274	84.826256	-0.415743	-0.028640	179
8332.337615	85.219696	-0.409232	-0.028375	181
8334.373928	85.844955	-0.401622	-0.027508	183
8336.413175	86.233315	-0.393601	-0.026665	185
8338.449740	86.334877	-0.384925	-0.025990	187
8340.493048	86.182907	-0.378446	-0.025199	189
8342.539890	85.958664	-0.371896	-0.024666	191
8344.582255	85.786331	-0.366214	-0.024211	193
8346.622170	85.492073	-0.360450	-0.023363	195
8348.670325	85.395096	-0.352564	-0.022881	197
8350.723038	85.352409	-0.346217	-0.023025	199
8352.767594	85.399223	-0.338797	-0.022499	201
8354.820059	85.569786	-0.332425	-0.021403	203
8356.880412	85.506439	-0.326595	-0.020861	205
8358.925568	85.347580	-0.321065	-0.019882	207
8360.961637	85.115059	-0.315575	-0.019289	209
8363.016745	84.887749	-0.310530	-0.018600	211
8365.043540	84.757820	-0.305619	-0.018589	213
8367.084975	84.852737	-0.301543	-0.017935	215
8369.121999	85.245399	-0.296541	-0.017702	217
8371.156631	85.767838	-0.292054	-0.017001	219
8373.194994	86.177498	-0.285734	-0.016531	221
8375.234926	86.387604	-0.281432	-0.015956	223
8377.270986	86.110245	-0.275307	-0.015322	225
8379.319632	86.095497	-0.270842	-0.014805	227
8381.349602	85.795792	-0.266957	-0.014272	229
8383.409607	85.511703	-0.260616	-0.014242	231
8384.929659	354.062256	-0.012253	-0.100000	233
8386.482556	266.153595	-0.256192	-0.013735	235
8388.515352	265.937256	-0.252224	-0.013166	237
8390.546296	265.716919	-0.246397	-0.012500	239
8392.583523	265.718872	-0.240777	-0.012206	241
8394.625037	265.922272	-0.233470	-0.011963	243
8396.665899	266.322662	-0.227235	-0.011810	245
8398.699889	266.594055	-0.224559	-0.011287	247
8400.746844	266.707153	-0.219746	-0.011099	249
