time (s)	magX	magY	magZ
3385.890885	19.871420	327.997681	184.023956
3385.894225	20.105202	324.549408	178.354767
3385.897551	20.280537	322.620697	174.322037
3385.900888	20.222092	318.529510	170.464645
3385.904217	20.163647	314.438354	165.496796
3385.907549	20.338982	311.574524	160.002914
3385.910915	19.929865	307.424927	155.268845
3385.914210	20.105202	304.794861	153.573944
3385.917555	19.988310	301.755707	148.606079
3385.920883	20.163647	297.898315	143.988892
3385.924237	19.754528	295.618958	139.956177
3385.927549	19.579193	291.761566	137.033905
3385.930878	19.228521	288.605499	132.767395
3385.934211	19.520748	286.326141	128.267090
3385.937551	19.403858	283.053192	126.046181
3385.940903	18.819403	280.130920	122.364113
3385.944210	19.111629	277.091766	119.675636
3385.947545	18.351841	274.520172	116.285797
3385.950881	18.118059	272.474579	113.246643
3385.954250	18.293396	268.909424	111.142609
3385.957553	18.585621	267.097595	108.337234
3385.960880	18.176504	263.240204	105.707191
3385.964212	18.410286	261.720642	102.375801
3385.967550	17.650497	257.571014	100.271774
3385.970872	17.650497	255.700775	98.167740
3385.974210	17.182934	253.129150	95.362366
3385.977541	17.884277	250.966705	93.842781
3385.980874	17.416714	249.154877	91.914085
3385.984224	16.949152	246.992401	90.803627
3385.987545	17.124489	244.245483	87.413795
3385.990874	17.007597	242.725922	85.368210
3385.994204	16.540035	240.563416	83.790184
3385.997542	16.715370	238.810059	82.738167
3386.000879	16.540035	236.706024	79.874344
3386.004207	16.540035	234.017548	78.120987
3386.007540	16.890707	232.556396	76.893631
3386.010876	17.007597	230.452393	76.192284
3386.014209	16.423143	228.406769	74.029808
3386.017540	16.364698	226.770325	72.159554
3386.020901	16.832260	226.244324	70.873756
3386.024206	16.306252	223.555817	69.529518
3386.027552	16.423143	222.270020	68.477501
3386.030874	16.014027	221.568665	67.425484
3386.034210	16.423143	219.172424	66.490364
3386.037540	15.955581	218.471085	65.730568
3386.040873	16.130917	216.951508	64.561661
3386.044205	16.247807	215.373474	63.918758
3386.047533	16.656925	214.029221	61.814724
3386.050867	15.721799	212.684982	61.639393
3386.054199	16.364698	211.165421	59.944473
3386.057532	16.189362	210.288727	59.301579
3386.060871	16.481588	209.645828	57.139099
3386.064236	16.189362	208.243149	56.729977
3386.067534	15.780245	207.074219	56.203972
3386.070868	16.014027	206.606659	56.028633
3386.074201	15.838690	205.613098	55.502628
3386.077533	15.955581	204.444183	54.509056
3386.080867	15.838690	203.099945	53.047924
3386.084196	15.078900	202.924622	53.340149
3386.087535	15.429573	201.872604	52.521915
3386.090863	15.546463	201.638809	51.995907
3386.094197	15.663354	200.703674	51.177670
3386.097551	15.371127	199.417892	51.177670
3386.100872	15.429573	199.534790	50.768555
3386.104199	15.429573	198.190536	50.768555
3386.107560	15.546463	197.839874	49.774982
3386.110864	15.429573	197.313873	49.599648
3386.114201	15.546463	197.080078	49.716537
3386.117526	15.371127	196.787842	49.541203
3386.120869	14.903564	196.670944	48.956749
3386.124197	15.254236	196.495621	48.839859
3386.127530	15.429573	196.144943	47.787842
3386.130862	15.195791	196.261841	48.722969
3386.134192	15.078900	195.677383	48.196960
3386.137526	15.020455	195.794281	49.132084
3386.140859	15.897136	195.443588	47.846287
3386.144193	15.955581	195.151382	48.372295
3386.147528	15.254236	195.034485	49.073639
3386.150858	15.312682	195.268265	47.144943
3386.154192	15.721799	195.151382	47.495617
